Rank,Word,Score,Overall Frequency,Pos1 Freq,Pos2 Freq,Pos3 Freq,Pos4 Freq,Pos5 Freq
2278,sutor,2509.7999999999997,3513,365,185,111,132,212
2279,narre,2509.6776097560974,3675,37,304,163,150,422
2280,strap,2509.6000000000004,3634,365,77,163,162,56
2281,curat,2509.6,3542,198,185,163,162,253
2282,spode,2509.3999999999996,3409,365,61,243,69,422
2283,wrast,2509.3999999999996,3463,82,267,306,171,253
2284,ureic,2509.2,3738,33,267,177,158,31
2285,foyer,2509.0,3533,135,279,29,318,212
2286,grime,2509.0,3423,115,267,266,68,422
2287,delos,2508.8,3760,111,241,112,132,36
2288,boeti,2508.7999999999997,3662,173,279,177,139,11
2289,helio,2508.7999999999997,3756,69,241,112,158,58
2290,cosed,2508.6000000000004,3519,198,279,80,318,118
2291,value,2508.6000000000004,3539,43,304,112,82,422
2292,reine,2508.4,3370,105,241,266,182,422
2293,besit,2508.2,3577,173,241,80,158,253
2294,unset,2508.0,3666,33,87,80,318,253
2295,kayle,2507.8,3555,20,304,29,162,422
2296,reame,2507.6,3418,105,241,306,68,422
2297,thars,2507.6,3656,149,144,306,150,36
2298,reput,2507.3999999999996,3687,105,241,57,82,253
2299,chape,2507.2,3432,198,144,306,50,422
2300,muser,2507.0,3577,107,185,80,318,212
2301,airth,2506.7999999999997,3658,140,201,163,139,137
2302,weros,2506.7999999999997,3742,82,241,163,132,36
2303,beaus,2506.6000000000004,3619,173,241,306,82,36
2304,stupe,2506.3999999999996,3458,365,77,165,50,422
2305,salse,2506.2360325203254,3589,365,304,112,171,422
2306,ukase,2506.2000000000003,3549,33,10,306,171,422
2307,upter,2506.2,3687,33,61,111,318,212
2308,carns,2506.0,3588,198,304,163,182,36
2309,clime,2505.7999999999997,3407,198,200,266,68,422
2310,rotis,2505.7999999999997,3717,105,279,111,158,36
2311,glent,2505.6,3558,115,200,177,182,253
2312,cents,2505.4,3675,198,241,137,139,36
2313,weirs,2505.4,3659,82,241,266,150,36
2314,pilar,2505.0,3623,141,201,112,162,212
2315,olden,2504.6,3665,41,200,75,318,130
2316,rioty,2504.6,3473,105,201,243,139,364
2317,fouet,2504.2,3407,135,279,165,318,253
2318,pairs,2503.8,3575,141,304,266,150,36
2319,samek,2503.7999999999997,3399,365,304,61,318,113
2320,traps,2503.6000000000004,3634,149,267,306,50,36
2321,etics,2503.6,3772,72,77,266,150,36
2322,dazer,2503.4,3535,111,304,11,318,212
2323,riems,2503.4,3781,105,201,177,68,36
2324,serum,2503.3999999999996,3577,365,241,163,82,42
2325,orped,2503.2,3638,41,267,57,318,118
2326,grues,2503.0,3571,115,267,165,318,36
2327,nosed,2503.0,3617,37,279,80,318,118
2328,incle,2502.8,3664,34,87,56,162,422
2329,poney,2502.6,3345,141,279,137,318,364
2330,tiros,2502.6,3717,149,201,163,132,36
2331,hones,2502.2,3611,69,279,137,318,36
2332,olive,2502.2,3521,41,200,266,45,422
2333,rhime,2502.0,3500,105,144,266,68,422
2334,soken,2502.0,3434,365,279,12,318,130
2335,plets,2501.9999999999995,3708,141,200,177,139,36
2336,bepat,2501.8,3579,173,241,57,162,253
2337,foule,2501.6,3394,135,279,165,162,422
2338,tajes,2501.4,3629,149,304,3,318,36
2339,yites,2501.4,3721,6,201,111,318,36
2340,spait,2501.3999999999996,3407,365,61,306,158,253
2341,terfs,2501.3999999999996,3753,149,241,163,35,36
2342,abort,2501.2000000000003,3634,140,16,243,150,253
2343,tinge,2501.2,3512,149,201,137,76,422
2344,goary,2501.0,3359,115,279,306,150,364
2345,scray,2501.0,3439,365,40,163,162,364
2346,alews,2500.9999999999995,3783,140,200,177,25,36
2347,frail,2500.6,3487,135,267,306,158,155
2348,feare,2500.2,3331,135,241,306,150,422
2349,litem,2500.2,3661,87,201,111,318,42
2350,plast,2500.2,3453,141,200,306,171,253
2351,olpes,2500.0,3732,41,200,57,318,36
2352,clues,2499.8,3555,198,200,165,318,36
2353,darls,2499.8,3649,111,304,163,162,36
2354,yealm,2499.4,3661,6,241,306,162,42
2355,stour,2499.3999999999996,3513,365,77,243,82,212
2356,maril,2499.2000000000003,3574,107,304,163,158,155
2357,enorm,2499.0,3769,72,87,243,150,42
2358,romal,2499.0,3657,105,279,61,162,155
2359,bosey,2498.6,3355,173,279,80,318,364
2360,cafes,2498.6,3577,198,304,25,318,36
2361,lobes,2498.6,3647,87,279,56,318,36
2362,darts,2498.3999999999996,3662,111,304,163,139,36
2363,chart,2498.2,3463,198,144,306,150,253
2364,derth,2498.0,3636,111,241,163,139,137
2365,brats,2497.8,3549,173,267,306,139,36
2366,patee,2497.7999999999997,3299,141,304,111,318,422
2367,dalek,2497.6000000000004,3524,111,304,112,318,113
2368,azine,2497.6,3488,140,2,266,182,422
2369,gomer,2497.6,3506,115,279,61,318,212
2370,piley,2497.4,3405,141,201,112,318,364
2371,delts,2497.2,3736,111,241,112,139,36
2372,goety,2497.2,3446,115,279,177,139,364
2373,croze,2497.0,3395,198,267,243,20,422
2374,faver,2497.0,3483,135,304,49,318,212
2375,rejas,2497.0,3797,105,241,3,162,36
2376,roust,2497.0,3513,105,279,165,171,253
2377,lunes,2496.9999999999995,3653,87,185,137,318,36
2378,scran,2496.7999999999997,3588,365,40,163,162,130
2379,creds,2496.6,3663,198,267,177,69,36
2380,flair,2496.6,3487,135,200,306,158,212
2381,ploye,2496.3999999999996,3488,141,200,243,3,422
2382,bluet,2496.2,3421,173,200,165,318,253
2383,hider,2496.2,3577,69,201,75,318,212
2384,plait,2496.2,3455,141,200,306,158,253
2385,ratus,2496.2,3735,105,304,111,82,36
2386,fiers,2496.0,3694,135,201,177,150,36
2387,atter,2495.646487804878,3831,140,77,111,318,212
2388,noias,2495.4,3639,37,279,266,162,36
2389,omers,2495.2000000000003,3864,41,38,177,150,36
2390,guile,2495.2,3392,115,185,266,162,422
2391,argol,2495.0,3651,140,267,67,132,155
2392,ysame,2495.0,3613,6,16,306,68,422
2393,ceiba,2494.8,3630,198,241,266,24,63
2394,ureid,2494.7999999999997,3656,33,267,177,158,118
2395,racon,2494.6,3673,105,304,56,132,130
2396,foley,2494.3999999999996,3352,135,279,112,318,364
2397,pleon,2494.2,3637,141,200,177,132,130
2398,abide,2494.0,3548,140,16,266,69,422
2399,epris,2494.0,3830,72,61,163,158,36
2400,vanes,2494.0,3598,43,304,137,318,36
2401,mosey,2493.8,3391,107,279,80,318,364
2402,hired,2493.7999999999997,3577,69,201,163,318,118
2403,carer,2493.777707317073,3577,198,304,163,318,212
2404,parts,2493.6000000000004,3634,141,304,163,139,36
2405,drain,2493.6,3508,111,267,306,158,130
2406,lined,2493.6,3582,87,201,137,318,118
2407,litas,2493.6,3758,87,201,111,162,36
2408,tuple,2493.6,3506,149,185,57,162,422
2409,emirs,2493.4,3781,72,38,266,150,36
2410,naios,2493.4,3639,37,304,266,132,36
2411,dairy,2493.3999999999996,3359,111,304,266,150,364
2412,reest,2493.2000000000003,3524,105,241,177,171,253
2413,trees,2493.2000000000003,3524,149,267,177,318,36
2414,ocher,2493.2,3742,41,40,9,318,212
2415,shied,2493.2,3348,365,144,266,318,118
2416,fried,2493.0,3419,135,267,266,318,118
2417,socia,2493.0,3541,365,279,56,158,63
2418,whore,2493.0,3461,82,144,243,150,422
2419,radio,2492.7999999999997,3688,105,304,75,158,58
2420,grats,2492.6000000000004,3579,115,267,306,139,36
2421,pecia,2492.6,3715,141,241,56,158,63
2422,ultra,2492.6,3783,33,200,111,150,63
2423,tirls,2492.4,3680,149,201,163,162,36
2424,bleah,2492.3999999999996,3588,173,200,177,162,137
2425,pelts,2492.3999999999996,3708,141,241,112,139,36
2426,togue,2492.3999999999996,3488,149,279,67,82,422
2427,trews,2492.3999999999996,3718,149,267,177,25,36
2428,orbat,2492.0,3634,41,267,56,162,253
2429,smalt,2492.0,3404,365,38,306,162,253
2430,savor,2491.8,3445,365,304,49,132,212
2431,stark,2491.8,3479,365,77,306,150,113
2432,rends,2491.7999999999997,3761,105,241,137,69,36
2433,anele,2491.6000000000004,3494,140,87,177,162,422
2434,horas,2491.6,3680,69,279,163,162,36
2435,keros,2491.6,3758,20,241,163,132,36
2436,wafer,2491.4,3525,82,304,25,318,212
2437,algor,2491.0,3651,140,200,67,132,212
2438,henry,2491.0,3511,69,241,137,150,364
2439,lobar,2491.0,3621,87,279,56,162,212
2440,carny,2490.7999999999997,3344,198,304,163,182,364
2441,peons,2490.6000000000004,3589,141,241,243,182,36
2442,baned,2490.6,3451,173,304,137,318,118
2443,scaur,2490.6,3481,365,40,306,82,212
2444,fiest,2490.4,3526,135,201,177,171,253
2445,hoyle,2490.4,3510,69,279,29,162,422
2446,salic,2490.4,3504,365,304,112,158,31
2447,verso,2490.4,3700,43,241,163,171,58
2448,eales,2490.2000000000003,3589,72,304,112,318,36
2449,shola,2490.2000000000003,3499,365,144,243,162,63
2450,bayes,2490.2,3577,173,304,29,318,36
2451,drove,2490.2,3425,111,267,243,45,422
2452,keirs,2490.2,3675,20,241,266,150,36
2453,krait,2490.2,3481,20,267,306,158,253
2454,maneh,2489.8,3481,107,304,137,318,137
2455,flies,2489.7999999999997,3513,135,200,266,318,36
2456,lytes,2489.7999999999997,3767,87,22,111,318,36
2457,fable,2489.6,3430,135,304,56,162,422
2458,haros,2489.6,3680,69,304,163,132,36
2459,reifs,2489.6,3694,105,241,266,35,36
2460,feint,2489.4,3431,135,241,266,182,253
2461,hilar,2489.4,3645,69,201,112,162,212
2462,molue,2489.4,3481,107,279,112,82,422
2463,clats,2489.3999999999996,3563,198,200,306,139,36
2464,lunar,2489.3999999999996,3627,87,185,137,162,212
2465,minse,2489.3999999999996,3457,107,201,137,171,422
2466,korat,2489.2000000000003,3564,20,279,163,162,253
2467,dirge,2489.2,3500,111,201,163,76,422
2468,ponce,2489.2,3396,141,279,137,150,422
2469,bigae,2489.0,3465,173,201,67,162,422
2470,labor,2489.0,3621,87,304,56,132,212
2471,owner,2489.0,3647,41,44,137,318,212
2472,quale,2488.8,3416,23,185,306,162,422
2473,sowce,2488.8,3320,365,279,26,150,422
2474,acned,2488.7999999999997,3646,140,40,137,318,118
2475,ample,2488.7999999999997,3602,140,38,57,162,422
2476,narco,2488.6,3673,37,304,163,150,58
2477,helos,2488.4,3754,69,241,112,132,36
2478,hairs,2488.2,3597,69,304,266,150,36
2479,auges,2487.8,3649,140,185,67,318,36
2480,fayne,2487.4,3431,135,304,29,182,422
2481,quate,2487.4,3429,23,185,306,139,422
2482,peisy,2487.3999999999996,3357,141,241,266,171,364
2483,eyots,2487.2000000000003,3804,72,22,243,139,36
2484,yodle,2487.2,3516,6,279,75,162,422
2485,eared,2487.0,3495,72,304,163,318,118
2486,glute,2487.0,3451,115,200,165,139,422
2487,honey,2487.0,3367,69,279,137,318,364
2488,sabot,2487.0,3405,365,304,56,132,253
2489,stele,2487.0,3343,365,77,177,162,422
2490,nipet,2486.6,3567,37,201,57,318,253
2491,amens,2486.3999999999996,3762,140,38,177,182,36
2492,reiks,2486.2,3675,105,241,266,55,36
2493,broke,2486.0,3370,173,267,243,55,422
2494,owres,2486.0,3742,41,44,163,318,36
2495,chine,2485.8,3335,198,144,266,182,422
2496,traik,2485.8,3481,149,267,306,158,113
2497,faces,2485.7999999999997,3577,135,304,56,318,36
2498,maned,2485.7999999999997,3487,107,304,137,318,118
2499,alane,2485.613902439024,3494,140,200,306,182,422
2500,aimed,2485.6000000000004,3584,140,201,61,318,118
2501,segno,2485.6000000000004,3534,365,241,67,182,58
2502,orcas,2485.6,3768,41,267,56,162,36
2503,tards,2485.6,3662,149,304,163,69,36
2504,lidar,2485.4,3651,87,201,75,162,212
2505,loche,2485.4,3561,87,279,56,28,422
2506,aleph,2485.3999999999996,3673,140,200,177,50,137
2507,pleno,2485.3999999999996,3637,141,200,177,182,58
2508,prove,2485.3999999999996,3397,141,267,243,45,422
2509,ybore,2485.2000000000003,3584,6,16,243,150,422
2510,scree,2485.2,3270,365,40,163,318,422
2511,uredo,2485.0,3739,33,267,177,69,58
2512,acorn,2484.9999999999995,3673,140,40,243,150,130
2513,gades,2484.8,3576,115,304,75,318,36
2514,meils,2484.8,3600,107,241,266,162,36
2515,extra,2484.7999999999997,3868,72,14,111,150,63
2516,parti,2484.7999999999997,3636,141,304,163,139,11
2517,urned,2484.6000000000004,3559,33,267,137,318,118
2518,cluey,2484.6,3311,198,200,165,318,364
2519,pelon,2484.6,3637,141,241,112,132,130
2520,abune,2484.4,3524,140,16,165,182,422
2521,intra,2484.4,3844,34,87,111,150,63
2522,sneer,2484.4,3368,365,87,177,318,212
2523,esrog,2484.3999999999996,3858,72,16,163,132,41
2524,bloat,2484.2,3453,173,200,243,162,253
2525,dulse,2484.2,3473,111,185,112,171,422
2526,roins,2483.8,3561,105,279,266,182,36
2527,zlote,2483.6,3468,3,200,243,139,422
2528,lieus,2483.2,3750,87,201,177,82,36
2529,nails,2483.2,3602,37,304,266,162,36
2530,geits,2483.0,3607,115,241,266,139,36
2531,hazer,2483.0,3529,69,304,11,318,212
2532,ligne,2483.0,3499,87,201,67,182,422
2533,mpret,2483.0,3537,107,61,163,318,253
2534,roach,2483.0,3487,105,279,306,150,137
2535,roams,2483.0,3609,105,279,306,68,36
2536,tarok,2482.8,3564,149,304,163,132,113
2537,belah,2482.7999999999997,3588,173,241,112,162,137
2538,venal,2482.7999999999997,3646,43,241,137,162,155
2539,spect,2482.6,3467,365,61,177,150,253
2540,yerba,2482.4,3806,6,241,163,24,63
2541,robed,2482.2,3553,105,279,56,318,118
2542,trins,2482.2,3537,149,267,266,182,36
2543,cakes,2482.0,3558,198,304,12,318,36
2544,forme,2481.8,3425,135,279,163,68,422
2545,shirt,2481.8,3351,365,144,266,150,253
2546,bites,2481.7999999999997,3577,173,201,111,318,36
2547,nugae,2481.6000000000004,3554,37,185,67,162,422
2548,forge,2481.4,3419,135,279,163,76,422
2549,trams,2481.4,3585,149,267,306,68,36
2550,dames,2481.2,3582,111,304,61,318,36
2551,scobe,2481.2,3406,365,40,243,24,422
2552,diels,2481.0,3677,111,201,177,162,36
2553,doree,2481.0,3273,111,279,163,318,422
2554,rubel,2481.0,3589,105,185,56,318,155
2555,trags,2481.0,3579,149,267,306,76,36
2556,fiery,2480.8,3450,135,201,177,150,364
2557,poyse,2480.8,3440,141,279,29,171,422
2558,renig,2480.8,3680,105,241,137,158,41
2559,runed,2480.6000000000004,3559,105,185,137,318,118
2560,owlet,2480.3999999999996,3622,41,44,112,318,253
2561,heads,2480.2,3653,69,241,306,69,36
2562,cutes,2480.0,3568,198,185,111,318,36
2563,rudes,2480.0,3654,105,185,75,318,36
2564,lazes,2479.8,3629,87,304,11,318,36
2565,hoied,2479.7999999999997,3433,69,279,266,318,118
2566,parly,2479.7999999999997,3377,141,304,163,162,364
2567,bones,2479.6000000000004,3504,173,279,137,318,36
2568,diets,2479.6,3690,111,201,177,139,36
2569,elops,2479.6,3732,72,200,243,50,36
2570,ervil,2479.4,3665,72,267,49,158,155
2571,pulse,2479.4,3445,141,185,112,171,422
2572,harls,2479.3999999999996,3643,69,304,163,162,36
2573,terra,2479.2776097560973,3831,149,241,163,150,63
2574,gloat,2479.0,3483,115,200,243,162,253
2575,negro,2478.9999999999995,3763,37,241,67,150,58
2576,vesta,2478.8,3754,43,241,80,139,63
2577,tawed,2478.6,3521,149,304,26,318,118
2578,auris,2478.4,3676,140,185,163,158,36
2579,laxes,2478.4,3626,87,304,12,318,36
2580,party,2478.4,3390,141,304,163,139,364
2581,toils,2478.4,3536,149,279,266,162,36
2582,waled,2478.3999999999996,3508,82,304,112,318,118
2583,urare,2478.3939024390243,3568,33,267,306,150,422
2584,eaten,2478.2,3507,72,304,111,318,130
2585,droit,2478.0,3442,111,267,243,158,253
2586,harts,2478.0,3656,69,304,163,139,36
2587,karee,2478.0,3312,20,304,163,318,422
2588,lowne,2478.0,3466,87,279,26,182,422
2589,tepoy,2477.8,3501,149,241,57,132,364
2590,lants,2477.7999999999997,3661,87,304,137,139,36
2591,urnal,2477.7999999999997,3627,33,267,137,162,155
2592,cloke,2477.6,3384,198,200,243,55,422
2593,viner,2477.6,3522,43,201,137,318,212
2594,teres,2477.2000000000003,3524,149,241,163,318,36
2595,canst,2477.2,3420,198,304,137,171,253
2596,prost,2477.2,3412,141,267,243,171,253
2597,yeads,2477.2,3690,6,241,306,69,36
2598,mites,2477.0,3613,107,201,111,318,36
2599,cited,2476.6,3497,198,201,111,318,118
2600,gites,2476.6,3607,115,201,111,318,36
2601,zeals,2476.6,3629,3,241,306,162,36
2602,suona,2476.2,3435,365,185,243,182,63
2603,grano,2476.0,3508,115,267,306,182,58
2604,sport,2476.0,3412,365,61,243,150,253
2605,rears,2475.874292682927,3770,105,241,306,150,36
2606,rosti,2475.7999999999997,3717,105,279,80,139,11
2607,aleck,2475.6,3606,140,200,177,150,113
2608,peony,2475.4,3345,141,241,243,182,364
2609,shorl,2475.4,3421,365,144,243,150,155
2610,rythe,2475.3999999999996,3667,105,22,111,28,422
2611,zoner,2475.3999999999996,3493,3,279,137,318,212
2612,pages,2475.2,3548,141,304,67,318,36
2613,resow,2475.2,3742,105,241,80,132,17
2614,nerds,2475.0,3761,37,241,163,69,36
2615,rente,2475.0,3429,105,241,137,139,422
2616,seine,2475.0,3141,365,241,266,182,422
2617,atony,2474.8,3454,140,77,243,182,364
2618,waker,2474.8,3506,82,304,12,318,212
2619,piets,2474.7999999999997,3662,141,201,177,139,36
2620,toyed,2474.6000000000004,3529,149,279,29,318,118
2621,fecal,2474.6,3625,135,241,56,162,155
2622,levas,2474.6,3741,87,241,49,162,36
2623,moria,2474.6,3611,107,279,163,158,63
2624,vires,2474.6,3617,43,201,163,318,36
2625,biles,2474.4,3564,173,201,112,318,36
2626,coned,2474.4,3424,198,279,137,318,118
2627,prian,2474.4,3480,141,267,266,162,130
2628,reify,2474.4,3450,105,241,266,35,364
2629,jeats,2474.2000000000003,3629,20,241,306,139,36
2630,seame,2474.2,3189,365,241,306,68,422
2631,saeta,2474.199756097561,3602,365,304,177,139,63
2632,medal,2474.0,3630,107,241,75,162,155
2633,butle,2473.8,3421,173,185,111,162,422
2634,codes,2473.8,3519,198,279,75,318,36
2635,treen,2473.8,3429,149,267,177,318,130
2636,raids,2473.7999999999997,3603,105,304,266,69,36
2637,salop,2473.7999999999997,3477,365,304,112,132,56
2638,times,2473.7999999999997,3613,149,201,61,318,36
2639,ulnar,2473.7999999999997,3627,33,200,137,162,212
2640,yelts,2473.7999999999997,3767,6,241,112,139,36
2641,bider,2473.6,3470,173,201,75,318,212
2642,percs,2473.4,3635,141,241,163,150,36
2643,bract,2473.2,3356,173,267,306,150,253
2644,hairy,2473.0,3353,69,304,266,150,364
2645,begat,2472.8,3524,173,241,67,162,253
2646,crash,2472.7999999999997,3402,198,267,306,171,137
2647,rapso,2472.7999999999997,3658,105,304,57,171,58
2648,rehab,2472.6,3769,105,241,9,162,11
2649,tiges,2472.6,3607,149,201,67,318,36
2650,areas,2472.372926829268,3770,140,267,177,162,36
2651,hiper,2472.2000000000003,3549,69,201,57,318,212
2652,creps,2472.2,3635,198,267,177,50,36
2653,ounce,2472.2,3497,41,185,137,150,422
2654,tragi,2472.2,3581,149,267,306,76,11
2655,nemas,2472.0,3762,37,241,61,162,36
2656,decay,2471.7999999999997,3497,111,241,56,162,364
2657,groan,2471.6,3508,115,267,243,162,130
2658,tokes,2471.6,3590,149,279,12,318,36
2659,tansy,2471.3999999999996,3369,149,304,137,171,364
2660,adept,2471.2,3692,140,20,177,50,253
2661,teade,2471.0,3327,149,241,306,69,422
2662,ladee,2470.7999999999997,3314,87,304,75,318,422
2663,chest,2470.6000000000004,3489,198,144,177,171,253
2664,powre,2470.6000000000004,3439,141,279,26,150,422
2665,strag,2470.6000000000004,3579,365,77,163,162,41
2666,daris,2470.6,3603,111,304,163,158,36
2667,facey,2470.6,3333,135,304,56,318,364
2668,staid,2470.6,3435,365,77,306,158,118
2669,tardy,2470.3999999999996,3418,149,304,163,69,364
2670,rolag,2470.2,3651,105,279,112,162,41
2671,guise,2470.0,3344,115,185,266,171,422
2672,ontal,2470.0,3746,41,87,111,162,155
2673,riyal,2470.0,3682,105,201,29,162,155
2674,cital,2469.8,3565,198,201,111,162,155
2675,mures,2469.7999999999997,3577,107,185,163,318,36
2676,miles,2469.6,3600,107,201,112,318,36
2677,cured,2469.4,3461,198,185,163,318,118
2678,delis,2469.3999999999996,3677,111,241,112,158,36
2679,hawse,2469.2000000000003,3454,69,304,26,171,422
2680,pioye,2469.2,3442,141,201,243,3,422
2681,boras,2469.0,3573,173,279,163,162,36
2682,lipes,2469.0,3649,87,201,57,318,36
2683,panir,2468.8,3480,141,304,137,158,212
2684,poted,2468.8,3470,141,279,111,318,118
2685,spide,2468.8,3326,365,61,266,69,422
2686,agree,2468.7999999999997,3412,140,11,163,318,422
2687,torte,2468.6416097560978,3609,149,279,163,139,422
2688,augen,2468.4,3554,140,185,67,318,130
2689,noyes,2468.3999999999996,3648,37,279,29,318,36
2690,weald,2468.3999999999996,3508,82,241,306,162,118
2691,taish,2468.2000000000003,3429,149,304,266,171,137
2692,diary,2468.2,3359,111,201,306,150,364
2693,nodes,2468.2,3617,37,279,75,318,36
2694,rafee,2468.2,3331,105,304,25,318,422
2695,slype,2468.2,3403,365,200,29,50,422
2696,naily,2468.0,3358,37,304,266,162,364
2697,bodle,2467.6,3372,173,279,75,162,422
2698,decan,2467.6,3646,111,241,56,162,130
2699,mesto,2467.6,3696,107,241,80,139,58
2700,trawl,2467.4,3511,149,267,306,25,155
2701,aurae,2467.1729268292684,3568,140,185,163,162,422
2702,colas,2467.0,3587,198,279,112,162,36
2703,treck,2467.0,3541,149,267,177,150,113
2704,warst,2467.0,3463,82,304,163,171,253
2705,dotal,2466.8,3566,111,279,111,162,155
2706,tegua,2466.8,3710,149,241,67,82,63
2707,cakey,2466.7999999999997,3314,198,304,12,318,364
2708,bitey,2466.6,3333,173,201,111,318,364
2709,mired,2466.4,3506,107,201,163,318,118
2710,nuder,2466.2000000000003,3559,37,185,75,318,212
2711,freak,2466.2,3541,135,267,177,162,113
2712,oxter,2466.0,3646,41,14,111,318,212
2713,paris,2465.8,3575,141,304,163,158,36
2714,largo,2465.7999999999997,3651,87,304,163,76,58
2715,tatie,2465.634975609756,3604,149,304,111,158,422
2716,manor,2465.2000000000003,3514,107,304,137,132,212
2717,acros,2465.2,3768,140,40,163,132,36
2718,calos,2465.0,3587,198,304,112,132,36
2719,godet,2465.0,3415,115,279,75,318,253
2720,heady,2465.0,3409,69,241,306,69,364
2721,dimer,2464.8,3506,111,201,61,318,212
2722,cutey,2464.7999999999997,3324,198,185,111,318,364
2723,pavie,2464.7999999999997,3392,141,304,49,158,422
2724,boney,2464.4,3260,173,279,137,318,364
2725,leuco,2464.4,3640,87,241,165,150,58
2726,moras,2464.2000000000003,3609,107,279,163,162,36
2727,rauns,2464.2000000000003,3579,105,304,165,182,36
2728,nital,2464.2,3663,37,201,111,162,155
2729,slaes,2463.9072520325203,3589,365,200,306,318,36
2730,gulet,2463.8,3451,115,185,112,318,253
2731,blets,2463.7999999999997,3623,173,200,177,139,36
2732,goras,2463.7999999999997,3603,115,279,163,162,36
2733,costa,2463.6,3600,198,279,80,139,63
2734,razed,2463.4,3535,105,304,11,318,118
2735,flake,2463.2,3360,135,200,306,55,422
2736,moyle,2463.0,3439,107,279,29,162,422
2737,pusle,2463.0,3445,141,185,80,162,422
2738,tryke,2462.8,3490,149,267,29,55,422
2739,twine,2462.8,3396,149,44,266,182,422
2740,pecan,2462.7999999999997,3618,141,241,56,162,130
2741,goyle,2462.6,3433,115,279,29,162,422
2742,ouens,2462.4,3690,41,185,177,182,36
2743,rayls,2462.4,3680,105,304,29,162,36
2744,zoeas,2462.4,3666,3,279,177,162,36
2745,talea,2462.1997560975606,3650,149,304,112,318,63
2746,trier,2462.094,3526,149,267,266,318,212
2747,blast,2462.0,3368,173,200,306,171,253
2748,caves,2462.0,3500,198,304,49,318,36
2749,douar,2462.0,3484,111,279,165,162,212
2750,raxed,2462.0,3532,105,304,12,318,118
2751,shmoe,2462.0,3354,365,144,61,132,422
2752,latte,2461.975463414634,3650,87,304,111,139,422
2753,mitey,2461.7999999999997,3369,107,201,111,318,364
2754,aryls,2461.6,3680,140,267,29,162,36
2755,ileus,2461.6,3750,34,200,177,82,36
2756,balot,2461.3999999999996,3453,173,304,112,132,253
2757,poled,2461.3999999999996,3457,141,279,112,318,118
2758,mapes,2461.2000000000003,3554,107,304,57,318,36
2759,tarps,2461.2000000000003,3634,149,304,163,50,36
2760,ferns,2461.0,3597,135,241,163,182,36
2761,etuis,2460.9999999999995,3763,72,77,165,158,36
2762,melos,2460.9999999999995,3683,107,241,112,132,36
2763,hames,2460.8,3576,69,304,61,318,36
2764,japer,2460.8,3494,20,304,57,318,212
2765,mairs,2460.8,3526,107,304,266,150,36
2766,caped,2460.7999999999997,3438,198,304,57,318,118
2767,gapes,2460.7999999999997,3548,115,304,57,318,36
2768,glode,2460.7999999999997,3402,115,200,243,69,422
2769,mange,2460.7999999999997,3404,107,304,137,76,422
2770,tozie,2460.7999999999997,3422,149,279,11,158,422
2771,caird,2460.4,3410,198,304,266,150,118
2772,gairs,2460.4,3520,115,304,266,150,36
2773,ryals,2460.4,3680,105,22,306,162,36
2774,sdein,2460.4,3534,365,20,177,158,130
2775,clept,2460.2,3515,198,200,177,50,253
2776,steik,2460.2,3507,365,77,177,158,113
2777,cadge,2459.8,3383,198,304,75,76,422
2778,nerdy,2459.7999999999997,3517,37,241,163,69,364
2779,money,2459.6,3296,107,279,137,318,364
2780,piety,2459.6,3418,141,201,177,139,364
2781,rhyne,2459.4,3511,105,144,29,182,422
2782,laith,2459.3999999999996,3477,87,304,266,139,137
2783,doats,2459.2,3518,111,279,306,139,36
2784,dower,2458.6,3467,111,279,26,318,212
2785,rorie,2458.4888292682926,3550,105,279,163,158,422
2786,flora,2458.4,3570,135,200,243,150,63
2787,incel,2458.4,3664,34,87,56,318,155
2788,aches,2458.2,3735,140,40,9,318,36
2789,estoc,2457.8,3855,72,16,111,132,31
2790,poker,2457.8,3455,141,279,12,318,212
2791,beads,2457.6,3546,173,241,306,69,36
2792,agues,2457.4,3649,140,11,165,318,36
2793,lehua,2457.2000000000003,3774,87,241,9,82,63
2794,yeahs,2457.2000000000003,3684,6,241,306,28,36
2795,crepy,2457.0,3391,198,267,177,50,364
2796,armil,2456.8,3574,140,267,61,158,155
2797,halve,2456.8,3460,69,304,112,45,422
2798,avels,2456.6,3741,140,15,177,162,36
2799,soapy,2456.6,3185,365,279,306,50,364
2800,thein,2456.6,3589,149,144,177,158,130
2801,yages,2456.6,3607,6,304,67,318,36
2802,refly,2456.4,3496,105,241,25,162,364
2803,naves,2456.3999999999996,3598,37,304,49,318,36
2804,narod,2456.2,3591,37,304,163,132,118
2805,rases,2456.168715447154,3770,105,304,80,318,36
2806,rebut,2456.0,3602,105,241,56,82,253
2807,sixte,2456.0,3334,365,201,12,139,422
2808,heaps,2455.8,3625,69,241,306,50,36
2809,argil,2455.6,3568,140,267,67,158,155
2810,mazer,2455.6,3458,107,304,11,318,212
2811,oscar,2455.6,3768,41,16,56,162,212
2812,arses,2455.3687154471545,3770,140,267,80,318,36
2813,trite,2455.2416097560977,3526,149,267,266,139,422
2814,flyer,2455.2,3496,135,200,29,318,212
2815,gazer,2455.2,3452,115,304,11,318,212
2816,maist,2455.2,3358,107,304,266,171,253
2817,naped,2455.2,3536,37,304,57,318,118
2818,pease,2455.2,3238,141,241,306,171,422
2819,berth,2455.0,3523,173,241,163,139,137
2820,cotan,2455.0,3505,198,279,111,162,130
2821,howre,2455.0,3461,69,279,26,150,422
