Rank,Word,Score,Pos1 Overall Freq,Pos1 Positional Freq,Pos2 Overall Freq,Pos2 Positional Freq,Pos3 Overall Freq,Pos3 Positional Freq,Pos4 Overall Freq,Pos4 Positional Freq,Pos5 Overall Freq,Pos5 Positional Freq
4315,alley,2193.785642276423,975,716,716,1230,424,140,200,112,318,364
4316,ranch,2193.7000000000003,897,975,573,475,387,105,304,137,150,137
4317,trogs,2193.3,729,897,753,310,668,149,267,243,76,36
4318,payee,2193.0,365,975,424,1230,1230,141,304,29,318,422
4319,salvo,2193.0,668,975,716,152,753,365,304,112,45,58
4320,lozen,2192.85,716,753,40,1230,573,87,279,11,318,130
4321,truer,2192.704804878049,729,897,466,1230,897,149,267,165,318,212
4322,krans,2192.6,210,897,975,573,668,20,267,306,182,36
4323,along,2192.55,975,716,753,573,310,140,200,243,182,41
4324,huger,2192.4500000000003,387,466,310,1230,897,69,185,67,318,212
4325,icker,2192.3,670,475,210,1230,897,34,40,12,318,212
4326,rangy,2192.15,897,975,573,310,424,105,304,137,76,364
4327,donee,2192.1,393,753,573,1230,1230,111,279,137,318,422
4328,inkle,2192.1,670,573,210,716,1230,34,87,12,162,422
4329,chirt,2191.85,475,387,670,897,729,198,144,266,150,253
4330,dosai,2191.8,393,753,668,975,670,111,279,80,162,11
4331,toman,2191.75,729,753,316,975,573,149,279,61,162,130
4332,horsy,2191.65,387,753,897,668,424,69,279,163,171,364
4333,gleba,2191.6000000000004,310,716,1230,280,975,115,200,177,24,63
4334,flats,2191.55,229,716,975,729,668,135,200,306,139,36
4335,awned,2191.4,975,194,573,1230,393,140,44,137,318,118
4336,mopes,2191.25,316,753,365,1230,668,107,279,57,318,36
4337,talik,2191.2000000000003,729,975,716,670,210,149,304,112,158,113
4338,ohias,2191.2,753,387,670,975,668,41,144,266,162,36
4339,thief,2191.1000000000004,729,387,670,1230,229,149,144,266,318,26
4340,liven,2190.8,716,670,152,1230,573,87,201,49,318,130
4341,brios,2190.7,280,897,670,753,668,173,267,266,132,36
4342,tapis,2190.65,729,975,365,670,668,149,304,57,158,36
4343,spaul,2190.55,668,365,975,466,716,365,61,306,82,155
4344,forze,2190.5,229,753,897,40,1230,135,279,163,20,422
4345,uveal,2190.35,466,152,1230,975,716,33,15,177,162,155
4346,obeli,2190.1000000000004,753,280,1230,716,670,41,16,177,162,11
4347,intro,2190.1,670,573,729,897,753,34,87,111,150,58
4348,crith,2190.05,475,897,670,729,387,198,267,266,139,137
4349,jaspe,2189.9500000000003,27,975,668,365,1230,20,304,80,50,422
4350,tripy,2189.9500000000003,729,897,670,365,424,149,267,266,50,364
4351,tubes,2189.95,729,466,280,1230,668,149,185,56,318,36
4352,meter,2189.65,316,1230,729,1230,897,107,241,111,318,212
4353,hacek,2189.35,387,975,475,1230,210,69,304,56,318,113
4354,copal,2189.15,475,753,365,975,716,198,279,57,162,155
4355,egads,2189.1000000000004,1230,310,975,393,668,72,11,306,69,36
4356,rejon,2188.9500000000003,897,1230,27,753,573,105,241,3,132,130
4357,coven,2188.95,475,753,152,1230,573,198,279,49,318,130
4358,bogey,2188.8,280,753,310,1230,424,173,279,67,318,364
4359,pined,2188.8,365,670,573,1230,393,141,201,137,318,118
4360,glost,2188.7000000000003,310,716,753,668,729,115,200,243,171,253
4361,inlay,2188.45,670,573,716,975,424,34,87,112,162,364
4362,quiet,2188.45,29,466,670,1230,729,23,185,266,318,253
4363,tepid,2188.2000000000003,729,1230,365,670,393,149,241,57,158,118
4364,dobes,2188.2,393,753,280,1230,668,111,279,56,318,36
4365,opsat,2188.15,753,365,668,975,729,41,61,80,162,253
4366,otter,2188.059036585366,753,729,729,1230,897,41,77,111,318,212
4367,homes,2188.05,387,753,316,1230,668,69,279,61,318,36
4368,saick,2188.0,668,975,670,475,210,365,304,266,150,113
4369,letup,2187.9500000000003,716,1230,729,466,365,87,241,111,82,56
4370,ebony,2187.65,1230,280,753,573,424,72,16,243,182,364
4371,glory,2187.4,310,716,753,897,424,115,200,243,150,364
4372,milor,2187.4,316,670,716,753,897,107,201,112,132,212
4373,aboil,2187.1,975,280,753,670,716,140,16,243,158,155
4374,chime,2187.0,475,387,670,316,1230,198,144,266,68,422
4375,glias,2187.0,310,716,670,975,668,115,200,266,162,36
4376,yield,2186.95,424,670,1230,716,393,6,201,177,162,118
4377,carpi,2186.8,475,975,897,365,670,198,304,163,50,11
4378,zerda,2186.8,40,1230,897,393,975,3,241,163,69,63
4379,teuch,2186.75,729,1230,466,475,387,149,241,165,150,137
4380,ictal,2186.65,670,475,729,975,716,34,40,111,162,155
4381,ovule,2186.6,753,152,466,716,1230,41,15,165,162,422
4382,spoil,2186.5,668,365,753,670,716,365,61,243,158,155
4383,suped,2186.4500000000003,668,466,365,1230,393,365,185,57,318,118
4384,baric,2186.4,280,975,897,670,475,173,304,163,158,31
4385,malts,2186.3,316,975,716,729,668,107,304,112,139,36
4386,xenia,2186.3,37,1230,573,670,975,0,241,137,158,63
4387,crabs,2186.2000000000003,475,897,975,280,668,198,267,306,24,36
4388,balti,2186.05,280,975,716,729,670,173,304,112,139,11
4389,mowie,2186.05,316,753,194,670,1230,107,279,26,158,422
4390,aitus,2185.9,975,670,729,466,668,140,201,111,82,36
4391,reens,2185.85,897,1230,1230,573,668,105,241,177,182,36
4392,frize,2185.8,229,897,670,40,1230,135,267,266,20,422
4393,hains,2185.8,387,975,670,573,668,69,304,266,182,36
4394,tramp,2185.8,729,897,975,316,365,149,267,306,68,56
4395,dunes,2185.65,393,466,573,1230,668,111,185,137,318,36
4396,sefer,2185.65,668,1230,229,1230,897,365,241,25,318,212
4397,brand,2185.6,280,897,975,573,393,173,267,306,182,118
4398,leave,2185.6,716,1230,975,152,1230,87,241,306,45,422
4399,gamed,2185.4,310,975,316,1230,393,115,304,61,318,118
4400,borts,2185.35,280,753,897,729,668,173,279,163,139,36
4401,roses,2185.296227642277,897,753,668,1230,668,105,279,80,318,36
4402,torsk,2185.1,729,753,897,668,210,149,279,163,171,113
4403,opals,2185.05,753,365,975,716,668,41,61,306,162,36
4404,bevor,2184.75,280,1230,152,753,897,173,241,49,132,212
4405,remet,2184.7000000000003,897,1230,316,1230,729,105,241,61,318,253
4406,debit,2184.65,393,1230,280,670,729,111,241,56,158,253
4407,tubar,2184.65,729,466,280,975,897,149,185,56,162,212
4408,slack,2184.5,668,716,975,475,210,365,200,306,150,113
4409,mersk,2184.3,316,1230,897,668,210,107,241,163,171,113
4410,nervy,2184.3,573,1230,897,152,424,37,241,163,45,364
4411,ached,2184.25,975,475,387,1230,393,140,40,9,318,118
4412,reget,2184.1000000000004,897,1230,310,1230,729,105,241,67,318,253
4413,capri,2184.1,475,975,365,897,670,198,304,57,150,11
4414,verba,2184.0,152,1230,897,280,975,43,241,163,24,63
4415,quite,2183.95,29,466,670,729,1230,23,185,266,139,422
4416,fakes,2183.85,229,975,210,1230,668,135,304,12,318,36
4417,porin,2183.85,365,753,897,670,573,141,279,163,158,130
4418,aware,2183.7523780487804,975,194,975,897,1230,140,44,306,150,422
4419,toque,2183.7000000000003,729,753,29,466,1230,149,279,1,82,422
4420,asked,2183.6000000000004,975,668,210,1230,393,140,16,12,318,118
4421,herms,2183.55,387,1230,897,316,668,69,241,163,68,36
4422,lordy,2183.55,716,753,897,393,424,87,279,163,69,364
4423,sudor,2183.4,668,466,393,753,897,365,185,75,132,212
4424,scarf,2183.35,668,475,975,897,229,365,40,306,150,26
4425,genae,2183.05,310,1230,573,975,1230,115,241,137,162,422
4426,lengs,2183.0,716,1230,573,310,668,87,241,137,76,36
4427,bield,2182.9,280,670,1230,716,393,173,201,177,162,118
4428,exist,2182.9,1230,37,670,668,729,72,14,266,171,253
4429,teels,2182.9,729,1230,1230,716,668,149,241,177,162,36
4430,chola,2182.8,475,387,753,716,975,198,144,243,162,63
4431,regle,2182.8,897,1230,310,716,1230,105,241,67,162,422
4432,lurex,2182.75,716,466,897,1230,37,87,185,163,318,8
4433,pects,2182.7000000000003,365,1230,475,729,668,141,241,56,139,36
4434,stirk,2182.65,668,729,670,897,210,365,77,266,150,113
4435,macro,2182.55,316,975,475,897,753,107,304,56,150,58
4436,wines,2182.55,194,670,573,1230,668,82,201,137,318,36
4437,prads,2182.45,365,897,975,393,668,141,267,306,69,36
4438,voted,2182.4,152,753,729,1230,393,43,279,111,318,118
4439,spend,2182.3,668,365,1230,573,393,365,61,177,182,118
4440,poche,2182.2000000000003,365,753,475,387,1230,141,279,56,28,422
4441,limed,2182.0,716,670,316,1230,393,87,201,61,318,118
4442,odals,2182.0,753,393,975,716,668,41,20,306,162,36
4443,rewth,2181.9500000000003,897,1230,194,729,387,105,241,26,139,137
4444,yourt,2181.8,424,753,466,897,729,6,279,165,150,253
4445,daunt,2181.55,393,975,466,573,729,111,304,165,182,253
4446,rebus,2181.55,897,1230,280,466,668,105,241,56,82,36
4447,rowan,2181.5,897,753,194,975,573,105,279,26,162,130
4448,colts,2181.3500000000004,475,753,716,729,668,198,279,112,139,36
4449,cyber,2181.0,475,424,280,1230,897,198,22,56,318,212
4450,sarir,2180.9239756097563,668,975,897,670,897,365,304,163,158,212
4451,fouat,2180.9,229,753,466,975,729,135,279,165,162,253
4452,savoy,2180.9,668,975,152,753,424,365,304,49,132,364
4453,hasty,2180.85,387,975,668,729,424,69,304,80,139,364
4454,fadge,2180.75,229,975,393,310,1230,135,304,75,76,422
4455,brits,2180.65,280,897,670,729,668,173,267,266,139,36
4456,marsh,2180.55,316,975,897,668,387,107,304,163,171,137
4457,melba,2180.5,316,1230,716,280,975,107,241,112,24,63
4458,bices,2180.45,280,670,475,1230,668,173,201,56,318,36
4459,masur,2180.35,316,975,668,466,897,107,304,80,82,212
4460,merel,2180.25,316,1230,897,1230,716,107,241,163,318,155
4461,guars,2180.2000000000003,310,466,975,897,668,115,185,306,150,36
4462,raree,2180.148987804878,897,975,897,1230,1230,105,304,163,318,422
4463,lyard,2180.1000000000004,716,424,975,897,393,87,22,306,150,118
4464,grasp,2180.0,310,897,975,668,365,115,267,306,171,56
4465,puree,2179.95,365,466,897,1230,1230,141,185,163,318,422
4466,baurs,2179.9,280,975,466,897,668,173,304,165,150,36
4467,lowed,2179.9,716,753,194,1230,393,87,279,26,318,118
4468,choir,2179.85,475,387,753,670,897,198,144,243,158,212
4469,ousia,2179.75,753,466,668,670,975,41,185,80,158,63
4470,orbit,2179.7,753,897,280,670,729,41,267,56,158,253
4471,yokel,2179.65,424,753,210,1230,716,6,279,12,318,155
4472,tousy,2179.6000000000004,729,753,466,668,424,149,279,165,171,364
4473,chota,2179.6,475,387,753,729,975,198,144,243,139,63
4474,derby,2179.55,393,1230,897,280,424,111,241,163,24,364
4475,nivel,2179.55,573,670,152,1230,716,37,201,49,318,155
4476,scram,2179.4500000000003,668,475,897,975,316,365,40,163,162,42
4477,shiur,2179.45,668,387,670,466,897,365,144,266,82,212
4478,lathy,2179.3500000000004,716,975,729,387,424,87,304,111,28,364
4479,leuds,2179.25,716,1230,466,393,668,87,241,165,69,36
4480,spued,2179.25,668,365,466,1230,393,365,61,165,318,118
4481,rangs,2178.75,897,975,573,310,668,105,304,137,76,36
4482,filed,2178.7,229,670,716,1230,393,135,201,112,318,118
4483,atopy,2178.6000000000004,975,729,753,365,424,140,77,243,50,364
4484,clegs,2178.6,475,716,1230,310,668,198,200,177,76,36
4485,clasp,2178.4,475,716,975,668,365,198,200,306,171,56
4486,clems,2178.3,475,716,1230,316,668,198,200,177,68,36
4487,eisel,2177.9,1230,670,668,1230,716,72,201,80,318,155
4488,rival,2177.9,897,670,152,975,716,105,201,49,162,155
4489,deoch,2177.8,393,1230,753,475,387,111,241,243,150,137
4490,pians,2177.75,365,670,975,573,668,141,201,306,182,36
4491,torch,2177.65,729,753,897,475,387,149,279,163,150,137
4492,dunce,2177.6,393,466,573,475,1230,111,185,137,150,422
4493,hogen,2177.5,387,753,310,1230,573,69,279,67,318,130
4494,logia,2177.5,716,753,310,670,975,87,279,67,158,63
4495,scalp,2177.5,668,475,975,716,365,365,40,306,162,56
4496,tabos,2177.4,729,975,280,753,668,149,304,56,132,36
4497,knarl,2177.15,210,573,975,897,716,20,87,306,150,155
4498,tunas,2177.1000000000004,729,466,573,975,668,149,185,137,162,36
4499,serve,2177.05,668,1230,897,152,1230,365,241,163,45,422
4500,merch,2176.8500000000004,316,1230,897,475,387,107,241,163,150,137
4501,tyned,2176.75,729,424,573,1230,393,149,22,137,318,118
4502,elute,2176.65,1230,716,466,729,1230,72,200,165,139,422
4503,acton,2176.6000000000004,975,475,729,753,573,140,40,111,132,130
4504,betid,2176.55,280,1230,729,670,393,173,241,111,158,118
4505,trips,2176.55,729,897,670,365,668,149,267,266,50,36
4506,calid,2176.45,475,975,716,670,393,198,304,112,158,118
4507,mohar,2176.45,316,753,387,975,897,107,279,9,162,212
4508,luges,2176.3500000000004,716,466,310,1230,668,87,185,67,318,36
4509,deism,2176.3,393,1230,670,668,316,111,241,266,171,42
4510,sorbi,2176.3,668,753,897,280,670,365,279,163,24,11
4511,north,2176.2,573,753,897,729,387,37,279,163,139,137
4512,leper,2176.15,716,1230,365,1230,897,87,241,57,318,212
4513,soles,2176.127081300813,668,753,716,1230,668,365,279,112,318,36
4514,aunty,2176.1,975,466,573,729,424,140,185,137,139,364
4515,arcus,2176.0,975,897,475,466,668,140,267,56,82,36
4516,grand,2176.0,310,897,975,573,393,115,267,306,182,118
4517,scrag,2175.7000000000003,668,475,897,975,310,365,40,163,162,41
4518,punce,2175.7,365,466,573,475,1230,141,185,137,150,422
4519,voled,2175.7,152,753,716,1230,393,43,279,112,318,118
4520,arvos,2175.55,975,897,152,753,668,140,267,49,132,36
4521,manto,2175.55,316,975,573,729,753,107,304,137,139,58
4522,morts,2175.45,316,753,897,729,668,107,279,163,139,36
4523,donas,2175.35,393,753,573,975,668,111,279,137,162,36
4524,ganev,2175.3,310,975,573,1230,152,115,304,137,318,0
4525,germy,2175.3,310,1230,897,316,424,115,241,163,68,364
4526,graip,2175.25,310,897,975,670,365,115,267,306,158,56
4527,aleem,2175.0,975,716,1230,1230,316,140,200,177,318,42
4528,vertu,2174.85,152,1230,897,729,466,43,241,163,139,1
4529,folia,2174.8,229,753,716,670,975,135,279,112,158,63
4530,panty,2174.55,365,975,573,729,424,141,304,137,139,364
4531,wince,2174.5,194,670,573,475,1230,82,201,137,150,422
4532,elder,2174.4500000000003,1230,716,393,1230,897,72,200,75,318,212
4533,mysie,2174.45,316,424,668,670,1230,107,22,80,158,422
4534,grufe,2174.4,310,897,466,229,1230,115,267,165,35,422
4535,fatly,2174.35,229,975,729,716,424,135,304,111,162,364
4536,ebons,2174.25,1230,280,753,573,668,72,16,243,182,36
4537,urged,2174.15,466,897,310,1230,393,33,267,67,318,118
4538,blive,2174.1,280,716,670,152,1230,173,200,266,45,422
4539,marcs,2174.05,316,975,897,475,668,107,304,163,150,36
4540,symar,2173.9,668,424,316,975,897,365,22,61,162,212
4541,drapy,2173.8,393,897,975,365,424,111,267,306,50,364
4542,efits,2173.75,1230,229,670,729,668,72,8,266,139,36
4543,foist,2173.75,229,753,670,668,729,135,279,266,171,253
4544,horis,2173.5,387,753,897,670,668,69,279,163,158,36
4545,liefs,2173.35,716,670,1230,229,668,87,201,177,35,36
4546,movie,2173.3,316,753,152,670,1230,107,279,49,158,422
4547,ozena,2173.3,753,40,1230,573,975,41,2,177,182,63
4548,paipe,2173.214349593496,365,975,670,365,1230,141,304,266,50,422
4549,abele,2173.2000000000003,975,280,1230,716,1230,140,16,177,162,422
4550,bouge,2173.2,280,753,466,310,1230,173,279,165,76,422
4551,tharm,2173.15,729,387,975,897,316,149,144,306,150,42
4552,bowel,2173.1,280,753,194,1230,716,173,279,26,318,155
4553,starr,2173.0826219512196,668,729,975,897,897,365,77,306,150,212
4554,dinge,2172.9500000000003,393,670,573,310,1230,111,201,137,76,422
4555,whine,2172.9,194,387,670,573,1230,82,144,266,182,422
4556,metic,2172.6000000000004,316,1230,729,670,475,107,241,111,158,31
4557,groin,2172.5,310,897,753,670,573,115,267,243,158,130
4558,maybe,2172.4500000000003,316,975,424,280,1230,107,304,29,24,422
4559,hovel,2172.4,387,753,152,1230,716,69,279,49,318,155
4560,lohan,2172.35,716,753,387,975,573,87,279,9,162,130
4561,roers,2172.3076341463416,897,753,1230,897,668,105,279,177,150,36
4562,sheel,2172.1000000000004,668,387,1230,1230,716,365,144,177,318,155
4563,thesp,2172.1,729,387,1230,668,365,149,144,177,171,56
4564,loafs,2171.9,716,753,975,229,668,87,279,306,35,36
4565,bergs,2171.8,280,1230,897,310,668,173,241,163,76,36
4566,fault,2171.8,229,975,466,716,729,135,304,165,162,253
4567,drays,2171.7000000000003,393,897,975,424,668,111,267,306,3,36
4568,fenis,2171.65,229,1230,573,670,668,135,241,137,158,36
4569,grype,2171.65,310,897,424,365,1230,115,267,29,50,422
4570,peise,2171.6,365,1230,670,668,1230,141,241,266,171,422
4571,berms,2171.5,280,1230,897,316,668,173,241,163,68,36
4572,first,2171.5,229,670,897,668,729,135,201,163,171,253
4573,ribas,2171.5,897,670,280,975,668,105,201,56,162,36
4574,sheik,2171.4,668,387,1230,670,210,365,144,177,158,113
4575,dalle,2171.3877398373984,393,975,716,716,1230,111,304,112,162,422
4576,eaned,2171.1000000000004,1230,975,573,1230,393,72,304,137,318,118
4577,grits,2171.05,310,897,670,729,668,115,267,266,139,36
4578,pinge,2171.05,365,670,573,310,1230,141,201,137,76,422
4579,thiol,2170.9500000000003,729,387,670,753,716,149,144,266,132,155
4580,obied,2170.8500000000004,753,280,670,1230,393,41,16,266,318,118
4581,gnome,2170.85,310,573,753,316,1230,115,87,243,68,422
4582,nertz,2170.75,573,1230,897,729,40,37,241,163,139,4
4583,swirl,2170.75,668,194,670,897,716,365,44,266,150,155
4584,patte,2170.7041341463414,365,975,729,729,1230,141,304,111,139,422
4585,nopal,2170.6,573,753,365,975,716,37,279,57,162,155
4586,marid,2170.55,316,975,897,670,393,107,304,163,158,118
4587,tabls,2170.55,729,975,280,716,668,149,304,56,162,36
4588,hejra,2170.5,387,1230,27,897,975,69,241,3,150,63
4589,allen,2170.435642276423,975,716,716,1230,573,140,200,112,318,130
4590,gaurs,2170.3,310,975,466,897,668,115,304,165,150,36
4591,yurta,2170.25,424,466,897,729,975,6,185,163,139,63
4592,malae,2170.246280487805,316,975,716,975,1230,107,304,112,162,422
4593,sohur,2170.2000000000003,668,753,387,466,897,365,279,9,82,212
4594,lords,2170.15,716,753,897,393,668,87,279,163,69,36
4595,pelus,2170.15,365,1230,716,466,668,141,241,112,82,36
4596,veiny,2170.15,152,1230,670,573,424,43,241,266,182,364
4597,iller,2170.0856422764227,670,716,716,1230,897,34,200,112,318,212
4598,clype,2170.05,475,716,424,365,1230,198,200,29,50,422
4599,gorsy,2170.0,310,753,897,668,424,115,279,163,171,364
4600,prays,2169.8,365,897,975,424,668,141,267,306,3,36
4601,shelf,2169.8,668,387,1230,716,229,365,144,177,162,26
4602,adios,2169.75,975,393,670,753,668,140,20,266,132,36
4603,spald,2169.75,668,365,975,716,393,365,61,306,162,118
4604,scuta,2169.55,668,475,466,729,975,365,40,165,139,63
4605,clits,2169.45,475,716,670,729,668,198,200,266,139,36
4606,sadic,2169.4,668,975,393,670,475,365,304,75,158,31
4607,vower,2169.4,152,753,194,1230,897,43,279,26,318,212
4608,dazes,2169.3,393,975,40,1230,668,111,304,11,318,36
4609,dynel,2169.15,393,424,573,1230,716,111,22,137,318,155
4610,wrapt,2169.1000000000004,194,897,975,365,729,82,267,306,50,253
4611,niche,2169.05,573,670,475,387,1230,37,201,56,28,422
4612,wrath,2169.05,194,897,975,729,387,82,267,306,139,137
4613,aloud,2169.0,975,716,753,466,393,140,200,243,82,118
4614,retro,2168.957634146341,897,1230,729,897,753,105,241,111,150,58
4615,ditas,2168.7000000000003,393,670,729,975,668,111,201,111,162,36
4616,rangi,2168.6000000000004,897,975,573,310,670,105,304,137,76,11
4617,faves,2168.6,229,975,152,1230,668,135,304,49,318,36
4618,tranq,2168.45,729,897,975,573,29,149,267,306,182,0
4619,tronk,2168.4,729,897,753,573,210,149,267,243,182,113
4620,senna,2168.3909512195123,668,1230,573,573,975,365,241,137,182,63
4621,lysed,2168.3,716,424,668,1230,393,87,22,80,318,118
4622,ecole,2168.25,1230,475,753,716,1230,72,40,243,162,422
4623,sedgy,2168.2000000000003,668,1230,393,310,424,365,241,75,76,364
4624,voema,2167.8,152,753,1230,316,975,43,279,177,68,63
4625,doula,2167.65,393,753,466,716,975,111,279,165,162,63
4626,owari,2167.35,753,194,975,897,670,41,44,306,150,11
4627,grout,2167.25,310,897,753,466,729,115,267,243,82,253
4628,loved,2167.15,716,753,152,1230,393,87,279,49,318,118
4629,lumen,2167.0,716,466,316,1230,573,87,185,61,318,130
4630,sewer,2166.85,668,1230,194,1230,897,365,241,26,318,212
4631,pitas,2166.8,365,670,729,975,668,141,201,111,162,36
4632,fiats,2166.7000000000003,229,670,975,729,668,135,201,306,139,36
4633,lomas,2166.65,716,753,316,975,668,87,279,61,162,36
4634,strim,2166.25,668,729,897,670,316,365,77,163,158,42
4635,graft,2166.2000000000003,310,897,975,229,729,115,267,306,35,253
4636,paxes,2166.2000000000003,365,975,37,1230,668,141,304,12,318,36
4637,vleis,2166.1000000000004,152,716,1230,670,668,43,200,177,158,36
4638,niced,2166.05,573,670,475,1230,393,37,201,56,318,118
4639,spurt,2166.05,668,365,466,897,729,365,61,165,150,253
4640,laths,2165.9500000000003,716,975,729,387,668,87,304,111,28,36
4641,melic,2165.9,316,1230,716,670,475,107,241,112,158,31
4642,clout,2165.65,475,716,753,466,729,198,200,243,82,253
4643,fural,2165.65,229,466,897,975,716,135,185,163,162,155
4644,chiao,2165.6000000000004,475,387,670,975,753,198,144,266,162,58
4645,inarm,2165.6000000000004,670,573,975,897,316,34,87,306,150,42
4646,gimel,2165.6,310,670,316,1230,716,115,201,61,318,155
4647,oaths,2165.6,753,975,729,387,668,41,304,111,28,36
4648,layin,2165.5,716,975,424,670,573,87,304,29,158,130
4649,tamis,2165.5,729,975,316,670,668,149,304,61,158,36
4650,grisy,2165.3,310,897,670,668,424,115,267,266,171,364
4651,aidos,2165.25,975,670,393,753,668,140,201,75,132,36
4652,duple,2165.15,393,466,365,716,1230,111,185,57,162,422
4653,duras,2165.1,393,466,897,975,668,111,185,163,162,36
4654,cours,2165.05,475,753,466,897,668,198,279,165,150,36
4655,meynt,2165.0,316,1230,424,573,729,107,241,29,182,253
4656,porny,2164.65,365,753,897,573,424,141,279,163,182,364
4657,skirl,2164.25,668,210,670,897,716,365,10,266,150,155
4658,gains,2164.15,310,975,670,573,668,115,304,266,182,36
4659,pogue,2164.15,365,753,310,466,1230,141,279,67,82,422
4660,berko,2164.0,280,1230,897,210,753,173,241,163,55,58
4661,comal,2164.0,475,753,316,975,716,198,279,61,162,155
4662,warns,2164.0,194,975,897,573,668,82,304,163,182,36
4663,terry,2163.9613658536587,729,1230,897,897,424,149,241,163,150,364
4664,mains,2163.85,316,975,670,573,668,107,304,266,182,36
4665,idola,2163.75,670,393,753,716,975,34,20,243,162,63
4666,nused,2163.6000000000004,573,466,668,1230,393,37,185,80,318,118
4667,guide,2163.6,310,466,670,393,1230,115,185,266,69,422
4668,items,2163.55,670,729,1230,316,668,34,77,177,68,36
4669,kines,2163.4500000000003,210,670,573,1230,668,20,201,137,318,36
4670,kriol,2163.3,210,897,670,753,716,20,267,266,132,155
4671,dants,2163.05,393,975,573,729,668,111,304,137,139,36
4672,blist,2163.0,280,716,670,668,729,173,200,266,171,253
4673,sonic,2162.95,668,753,573,670,475,365,279,137,158,31
4674,benga,2162.9,280,1230,573,310,975,173,241,137,76,63
4675,musar,2162.8,316,466,668,975,897,107,185,80,162,212
4676,tango,2162.8,729,975,573,310,753,149,304,137,76,58
4677,aunts,2162.7000000000003,975,466,573,729,668,140,185,137,139,36
4678,galis,2162.7,310,975,716,670,668,115,304,112,158,36
4679,sakti,2162.55,668,975,210,729,670,365,304,12,139,11
4680,strig,2162.5,668,729,897,670,310,365,77,163,158,41
4681,drees,2162.45,393,897,1230,1230,668,111,267,177,318,36
4682,malis,2162.4,316,975,716,670,668,107,304,112,158,36
4683,title,2162.321085365854,729,670,729,716,1230,149,201,111,162,422
4684,sward,2162.2000000000003,668,194,975,897,393,365,44,306,150,118
4685,iftar,2162.15,670,229,729,975,897,34,8,111,162,212
4686,voila,2162.15,152,753,670,716,975,43,279,266,162,63
4687,troat,2162.1017926829268,729,897,753,975,729,149,267,243,162,253
4688,sanko,2162.0,668,975,573,210,753,365,304,137,55,58
4689,inros,2161.9500000000003,670,573,897,753,668,34,87,163,132,36
4690,germs,2161.9,310,1230,897,316,668,115,241,163,68,36
4691,techy,2161.8500000000004,729,1230,475,387,424,149,241,56,28,364
4692,posit,2161.7000000000003,365,753,668,670,729,141,279,80,158,253
4693,skerm,2161.3500000000004,668,210,1230,897,316,365,10,177,150,42
4694,tonne,2161.2909512195124,729,753,573,573,1230,149,279,137,182,422
4695,shily,2161.2000000000003,668,387,670,716,424,365,144,266,162,364
4696,spume,2161.2000000000003,668,365,466,316,1230,365,61,165,68,422
4697,noust,2161.2,573,753,466,668,729,37,279,165,171,253
4698,pants,2161.15,365,975,573,729,668,141,304,137,139,36
4699,unmet,2161.1,466,573,316,1230,729,33,87,61,318,253
4700,spark,2161.0,668,365,975,897,210,365,61,306,150,113
4701,gerne,2160.8500000000004,310,1230,897,573,1230,115,241,163,182,422
4702,aedes,2160.8,975,1230,393,1230,668,140,241,75,318,36
4703,glans,2160.65,310,716,975,573,668,115,200,306,182,36
4704,fauve,2160.55,229,975,466,152,1230,135,304,165,45,422
4705,prees,2160.55,365,897,1230,1230,668,141,267,177,318,36
4706,stede,2160.5,668,729,1230,393,1230,365,77,177,69,422
4707,unget,2160.5,466,573,310,1230,729,33,87,67,318,253
4708,draps,2160.4,393,897,975,365,668,111,267,306,50,36
4709,omens,2160.3,753,316,1230,573,668,41,38,177,182,36
4710,gelid,2160.25,310,1230,716,670,393,115,241,112,158,118
4711,mogar,2160.2000000000003,316,753,310,975,897,107,279,67,162,212
4712,latch,2160.15,716,975,729,475,387,87,304,111,150,137
4713,porer,2160.123975609756,365,753,897,1230,897,141,279,163,318,212
4714,pervo,2159.9500000000003,365,1230,897,152,753,141,241,163,45,58
4715,oxers,2159.8500000000004,753,37,1230,897,668,41,14,177,150,36
4716,mauri,2159.85,316,975,466,897,670,107,304,165,150,11
4717,blude,2159.8,280,716,466,393,1230,173,200,165,69,422
4718,sayid,2159.8,668,975,424,670,393,365,304,29,158,118
4719,etyma,2159.7500000000005,1230,729,424,316,975,72,77,29,68,63
4720,atomy,2159.75,975,729,753,316,424,140,77,243,68,364
4721,adits,2159.7000000000003,975,393,670,729,668,140,20,266,139,36
4722,fiver,2159.65,229,670,152,1230,897,135,201,49,318,212
4723,dreks,2159.6,393,897,1230,210,668,111,267,177,55,36
4724,spacy,2159.55,668,365,975,475,424,365,61,306,150,364
4725,cloam,2159.5,475,716,753,975,316,198,200,243,162,42
4726,lewis,2159.5,716,1230,194,670,668,87,241,26,158,36
4727,haunt,2159.3500000000004,387,975,466,573,729,69,304,165,182,253
4728,alims,2159.25,975,716,670,316,668,140,200,266,68,36
4729,start,2159.239743902439,668,729,975,897,729,365,77,306,150,253
4730,slopy,2159.2000000000003,668,716,753,365,424,365,200,243,50,364
4731,matin,2159.15,316,975,729,670,573,107,304,111,158,130
4732,oueds,2159.1000000000004,753,466,1230,393,668,41,185,177,69,36
4733,chaos,2159.1,475,387,975,753,668,198,144,306,132,36
4734,bardo,2159.05,280,975,897,393,753,173,304,163,69,58
